,Text
21041,Marqués del valle
21090,MartÍn de Robles
21102,Coquibela
21432,francisco de Heredia
21433,Juan de Amaya
21435,Pedro MartÍn
21439,Francisco Ximénez
21477,Rodrigo Pacho
21481,Juan González de la Borbolla
21483,Luis Gutiérrez del Castillo
21486,Antonio de Velasco
21489,Domingo de Villegas
21490,Jusepe López
21493,luis de Maya
21495,Jusepe garcÍa
21506,Lorenzo Suárez de Mendoza
21507,Conde de la Coruña
21581,Alcalde M(ay)or
21848,súbdito
21887,Joseph López
21889,Juan Luis de Maya
21890,Francisco Xuárez
21893,Luis gutiérrez del Castillo
21907,Juan gallego
21911,Pedro de camporrey
21916,Martín Enriquez
21927,Juan gaitán
21930,Hernando de Zárate
21939,Tomás pérez
21940,Pedro Hernández
21941,Francisco de Salinas
21942,Juan Agustín
21943,Tomás Ramírez
21964,cantores
22064,Tiñaña
22067,Tecuantecutle
22091,cobradores
22109,demonio
22136,Chicome Coatl
22138,siete culebras
22151,culebra grande
22414,Gaspar de Solís
22447,Lucas de Velasco
22450,Diego Jacobo
22451,Pablo Hernández
22463,Pedro Ximénez
22464,Andrés de Medina
22465,Francisco de San Pedro
22466,Pedro Nicolás
22469,Juan Lorenzo
22480,santa María
22497,Pedro de Aguilera
22536,Emperador
22540,Hernado Cortés
22728,Axayacatzin
22753,Atepocatzin
22979,Juan del Río
23002,Miguel de Zárate
23005,Diego de Zárate
23006,Gaspar de León
23009,Pedro Fernández
23010,Juan Fernández
23015,Gaspar de San Miguel
23016,Domingo Vázquez
23131,Coqui Huani
23378,Domingo Mellado
23411,Andrés Aznar de Cózar
23423,Alonso Vázquez
23426,señal de la cruz
23443,Di(eg)o de Monroy
23444,Antoño Neto
23446,Alonso vázquez
23477,curas
23484,Antoño neto
23656,Cuaqusiqhi
23670,Taandozo
23677,Yocositñayuta
23759,cacica
24212,Bartolomé González
24217,Francisco Antolino
24218,Francisco Valdés
24233,Francisco Arellano
24240,Juan de Santiago
24243,Francisco Valadés
24245,Juan Gabriel
24251,Francisco GarcÍa
24262,sufragano
24284,MartÍn Enríquez
24353,Tondiqhumiu
24375,Qhumaqhuhuyzo
24379,Yocotoyna
24392,HITñAYUTA
24873,Alonso RodrÍguez
24875,Francisco López
24880,Lucas de Silvan
24888,Felipe de Arellano
24890,Francisco de Terrazas
24923,Antonio Neto
24982,Yyaqhunsisa
25021,Saqhunuqhiqusi
25130,cacicas
25156,ladrones
25442,Felipe de Mendoza
25449,Andrés Aznar de Córzar
25453,Jerónimo López
25455,Diego lópez
25464,Cristóbal Guillén
25465,Juan Hipólito de Tovar
25560,Yyazahuy
25590,Yyacoo
25777,cazador
25778,flechero
26042,Domingo de Santiago
26045,AgustÍn López
26050,AgustÍn Pérez
26082,martÍn enrÍquez
26142,cusivizu
26156,Cusivizu
26167,Quacusiqhi
26173,Toyna Yoco
26176,Qhuau
26181,Zahuy
26190,Cuacusiqhi
26514,Andrés Aznar de Cóznar
26517,Marcos de Aguilar
26521,Pedro de Guzmán
26523,Diego Carlos Manrique
26529,Rafael de Trejo
26583,Pero Nieto
26618,Yyachihuizu
26636,Yahatniyuti
26640,ñañahuzonuhu
26939,yutñutica
27059,Diego de Monroy
27063,P(edr)o de Alvarado
27067,Juan Merino
27068,Diego de Carvajal
27081,Diego Carvajal
27104,CéSPEDES
27116,JUAN DE CHáVEZ
27118,FRAY
27119,PEDRO CORONEL
27120,fraile
27122,NICOLáS DE RENDANO
27123,JUAN ORTIZ
27127,naguatato
27129,SIMóN VáZQUEZ
27134,ALONSO
27135,JUAN ACATL
27173,MONTEZUMA
27174,MARQUéS DEL VALLE
27175,RODRIGO DE SEGURA
27179,mujer
27180,GREGORIO DE TAPIA
27253,QUAUTZINTECUTLI
27254,TZINTECUTLI
27268,DON
27269,JUAN DE SANTIAGO
27281,ACATL
27283,OCELOTL
27388,QUAQUIHUITZIN
27427,concubinas
27443,seculares
27543,tizitl
27548,herbolarios
27641,fulano DE Saavedra
27645,Pedro del Pinal
27646,Juan NÚñez Mercado
27735,Chiconahui Ehecatl
27736,los nueve vientos
27737,Chicome Xuchitl
27738,siete flores
27886,Cihuatecutli
27887,mujer ilustre
27971,Gonzalo Velázquez de Lara
27973,Pedro Coronel
27974,Nicolás de Rendano
27975,Juan Ortiz
27976,Joan de Chávez
28005,Nicolás de Espíndola
28008,su Magestad
28009,excelente señor
28049,Nicolás Zamorano
28106,Diego de Guinea
28107,mayordomo
28123,Quieguela
28155,Pichanagobeche
28159,Pichanato
28179,Coquilguani
28322,Juan Hortiz
28344,Mateo de Monjaraz
28345,Alonso de Loaysa
28351,Francisco Flores
28394,Colaza
28431,Nustro Señor
28548,ENCOMENDERO
28554,Gregorio de Monjaraz
28556,Alonso de Loaysa de Paz
28558,Loaysa
28559,Oidor
28617,nuestro Señor
28822,Gozio Solachi
28853,Tlacatecolotl
28855,Gozio
28897,diputados
28900,biganas
29125,ENCOMENDEROS
29160,Pedro de Mendoza
29186,Luis
29197,LUIS
29238,Coactzi
29267,Pedro de Monjaraz
29294,capital
29315,Tlatoani Itzcuintli
29325,Beneleba
29326,Jonaji Belachina
29335,Alburquerque
29341,Tres Venados
29520,Andrés Ruiz
29521,Alonso Ruiz
29522,portero
29561,esteban ramos
29642,Bezalao
29650,abogados
29652,Cozichacozee
29664,Petela
29672,Bartolomé de Pisa
29673,vivario
29680,Esteban Ramos
29688,Pisa
29698,provisor
29879,Nicolás Espíndola
29880,Domingo Muñoz
29881,Pedro de Figueroa
29882,Pedro Pérez Bejarano
29887,Pedro de Ledezma
29911,Señor
29921,Juan Ximéénez Ortiz
29933,Juan Ximénez Ortiz
29939,Escribano
29940,Diego RamÍrez de Castro
29987,Domingo de Sosa
29996,Domingo Yotzine
29997,Juan Latzina
29998,Pedro Pilaapaa
29999,Juan Lanizaa
30000,Domingo Bilao
30042,fulano Maldonado
30058,Coqui Beyoyzi
30060,aztatl tecuhtli
30064,Coqui Bilalaol
30065,Coqui Bilana
30066,Quebatzinaa
30073,Pedro Aragonés
30077,Juan de Aragón
30239,Qualao Tzotziquetz
30241,Yaoyotecuhtli
30246,Laxuu Qalepetz
30247,Cenpoali Tecuani
30249,veinte leones
30250,Pinelaa Quiedtzaqui
30252,Imatlahuitoli
30254,brazo de arco
30258,Veinte Leones
30263,Brazo de Arco
30288,virgen
30289,mártir
30457,doncella
30740,fray Bernardo de Alburquerque
30769,francisco ximénez
30772,Pablo de Azevedo
30773,Baltasar de Illescas
30774,clérigos presbíteros
30796,Miguel
30804,Domingo de Velasco
30833,martÍn EnrÍquez
30843,SU MAJESTAD
30856,FRANCISCO DE PLAZA
30886,NUÑO DE GUZMÁN
30890,JUAN DE OÑATE
30899,ANTONIO DE MENDOZA
30904,PEDRO DE ALVARADO
30905,adelantado
30996,PANEN
30998,XAVALOTL
31013,MIGUEL
31015,FRANCISCO PAPALOTL
31020,PEDRO DE MENDOZA
31023,alcaldes ordinarios
31025,principales
31035,DEMONIO
31051,MÉDICA
31207,vicario beneficiado
31218,JHOAN GUTIÉRREZ CALDERÓN
31219,Escribano nombrado
31227,DIEGO CORNEJO TEMIÑO
31228,FERNANDO DE ESCOBAR
31236,descubridores
31250,COATL
31263,CRISTÓBAL DE OÑATE
31269,santa Cruz
31275,HERNÁN GÓMEZ DE LA PEÑA
31306,LICENCIADO
31307,OSEGUERA
31308,oidor
31313,GASPAR DE TAPIA
31356,FRAILES
31453,ANDRÉS DE VILLANUEVA
31465,JUAN DE SILVA
31843,RELIGIOSOS
31861,PADRE
31862,BARTOLOMÉ GUTIÉRREZ
31881,Santísima Trinidad
31882,Padre
31883,Hijo
31884,Espíritu Santo
31890,LÁZARO BLANCO
31891,teniente
31897,ANTONIO MUÑOZ
31900,muy poderosísimo señor
31901,president
31902,oidores
31933,poblador
32040,hombres de la mar
32133,DIABLO
32333,criadores
32377,capellán
32529,CÉSPEDES
32541,ALONSO ALCARAZ DE MESA
32544,PEDRO DE MEDINA
32545,minero
32559,ANTONIO DE VALLE
32561,DIEGO DEL CASTILLO
32562,JUAN ROYÓN
32651,SAN JUAN
32887,mercadeles
32982,FRANCISCO BELTRÁN
32983,escribano público
32993,FRANCISCO RUIZ
32999,FRANCISCO DE OCAMPO
33000,ALONSO GONZÁLEZ
33001,JÁCOME CHAFÍN
33002,GÓMEZ DE FLETES
33003,JUAN DE LANDERAS
33031,DIEGO HERNÁNDEZ PROAÑO
33296,ALONSO TABUYO
33299,ALONSO ALCARAZ DE MESSA
33304,rey católico
33305,cristianísimo
33307,FELIPE
33391,carreteros
33405,JACOME SCHAFIN
33407,PABLO DE TORRES
33409,PEDRO GAYTÁN
33410,GASPAR DE ESPINOSA
33585,JUAN HUIDOBRO
33602,ALONSO DE ALARCÓN
33603,GASPAR MANSO
33604,ANTONIO DE VALDENEBRO
33605,PEDRO GAITÁN
33607,PABLOS DE TORRES
33621,DIEGO HERNÁNDEZ DE PROAÑO
33689,alcaldes mayores
33698,GENERAL
33699,RODRIGO DEL RÍO
33866,vaqueros
33935,SAN DEMETRIO
34083,oficiales reales
34105,JUAN DE HUIDOBRO
34138,FULANO de Santiago
34139,DIEGO DE PROAÑO
34430,OBISPO
34451,nuestro salvador
34452,JESUCRISTO
34454,HERNANDO GALLEGOS
34460,JUAN DE AVELLANEDA
34464,muy ilustre señor
34466,ANTONIO MALDONADO
34477,BALTASAR DE MENDOZA
34480,JUAN GREGORIO
34482,MIGUEL ZACARÍAS
34485,PEDRO
34486,DIEGO DE MENDOZA
34488,ANTÓN JULIÁN
34489,FRANCISCO ANTÓN
34490,PEDRO BALTASAR
34492,JUAN MALDONADO
34493,MARTÍN GONZALO
34538,caudillo
34684,hacendados
34729,HERNANDO MARTEL
34738,JUAN DE ESCOBAR
34739,BEATRIZ DE GALLEGOS
34815,AQUANO
34818,capitán mayor
34847,YECOTL
34850,MARTíN
34858,DIEGO DELGADILLO
34863,MARTÍN
34870,MIGUEL GARCÍA
35015,MALDONADO
35022,HERNANDO DE GALLEGOS
35031,FRANCISCO HERNÁNDEZ
35033,JUAN ALMAG
35034,MARTÍN CALLO
35035,ANTÓN JULIYÁN
35036,nahuaton
35049,LUIS GÓMEZ DE ALVARADO
35054,ilustrísimo señor
35063,CRISTÓBAL ORDÓÑEZ
35064,BENITO FLORES
35067,MANUEL SALGADO
35069,ANDRÉS DE OLASO
35070,FRANCISCO DE GODOY
35071,ANDRÉS DE DEZA
35072,SIMÓN RODRÍGUEZ
35073,MELCHOR RODRÍGUEZ
35087,JUAN FERNÁNDEZ DE HÍJAR
35095,MARTÍN DE RIFARACHE
35096,JUAN GALLEGOS
35097,MARTÍN DE SALAYA
35100,ACEVEDO
35101,ANTONIO DE AGUAYO
35102,MELCHOR ÁLVAREZ
35103,MARTÍN PAIDO
35104,SALGUERO
35105,BARTOLOMÉ DE LEÓN
35107,ÍÑIGO ORTIZ
35108,DIEGO TÉLLEZ
35109,DIEGO MORÁN
35427,LOPE BERNAL
35428,JUAN DE CASTAÑEDA
35430,Vera Cruz
35432,CATALINA DE PERALTA
35482,CRISTÓBAL ORDOÑEZ
35487,ALONSO HERNÁNDEZ DEL CUETO
35505,UNO
35506,SEÑOR
35581,Coco
36011,Frailes
36156,JUAN FERNÁNDEZ DE HIÍJAR
36250,Señora mía
36252,padre mío
36375,ANTONIO DE LEYVA
36392,PEDRO DE MORAS
36393,escribano nombrado
36399,MARTÍN ENRÍQUEZ
36445,XOXOUHQUI TEQUANI
36458,CAZONCI
36466,XOXOUHQUl TEQUANI
36479,JUAN DE AÑESTA
36487,TEQUITLATO
36488,mandón
36491,HUITZIL
36496,HIJO DEL SOL
36507,MARQUÉS DEL VALLE
36521,JUAN DE ALMESTA
36655,ASTRÓLOGO
36687,MARTÍN MONGE
36748,TIMIZINQUE
36758,MARTIN CORTÉS
36787,TEOPIXQUE
36802,TEQUITLATOS
36820,TEOTL
36837,padrinos
36839,verdugo
36841,TEOPIXQUES
36873,NAHUALEHCA
36935,TITLANTLI
36936,embajador
37363,estancieros
37366,visorreyes
37599,granjeros
37689,FRANCISCO LORENZO
37720,MARTÍN CORTÉS
37722,JUAN VÁZQUEZ
37723,FRANClSCO DE MESA
37725,PEDRO BEJARANO
37726,JUAN NÚÑEZ
37733,MARTÍN CORTES
37734,FRANCISCO DE MESA
37737,escribano de juzgado
37763,PEDRO DE ÁVILA
37794,FRANCISCO CORTÉS
37802,MARQUÉS
37807,deudo
38063,ARCÁNGEL SAN MIGUEL
38142,MARTÍN MONGE DE LEÓN
38143,encomen dero
38145,FRANCISCO DE AGUAYO
38543,arrieros
38623,guardián
38633,comisarios
38634,provinciales
38641,PEDRO DÁVILA
38655,ANTONIO DE MEDINA
38785,tabernero
38866,candores
38885,TECPOYOTL
38982,PASQUIYMA
39033,PATZCOT
39180,JUAN DE VEGA
39181,LUIS DELGADILLO
39182,GASPAR DE MOTA
39183,DIEGO DE PUGA
39442,DIEGO VÁZQUEZ
39497,BALTASAR
39506,GONZALO
39561,PONCITL
39621,CAXOCOC
39653,TACCAN MIQUAT
39668,COLACQUA
39724,DOÑA
39725,ANA MANRIQUE
39726,SALVADOR LÓPEZ
39727,NICOLÁS RAMÍREZ
39731,DIEGO DE LOS RÍOS
39884,JUAN DE ARMELLAS
39893,JUAN MARTÍNEZ
39910,FRANCISCO DE AGÜERO
39916,BONIFACIO MARTÍNEZ
39920,su Majestad real
39923,GORDIÁN CASASANO
39924,receptor
39936,JUAN BAUTISTA DE HOROZCO
39937,JUAN MARTÍN
