,Text
44819,ofrecían codornices
44977,plantan
45181,religión cristiana
45214,venerando
45215,reverenciando
45337,belicosa
45338,doméstica
45416,Comen
45440,administrar justicia
45468,plantó
45654,mató
45844,tributarios
45846,tributando
46002,administran justicia
46229,Ritos
46522,labraron
46680,estéril
46776,incensaban
46848,deprender
46849,leer
46850,escribir
47168,conquistas
47245,sacrifican
47283,idolatrías
47621,recreación
47627,pasatiempos
47860,salinas
48012,labre
48205,bastimentos
48378,vasallaje
48432,tributaría
48440,tributó
49539,pueblos
49589,embriaguez
49745,dinero
49747,dineros
49862,vino conquistando
49978,gobiernan
50066,adoraban árboles
50082,cultos
50087,carne humana
50212,campos
50408,criar aves
50531,mercan
50540,vender pescado
50655,jugaban
50732,trabajar en las minas
50796,comercio
50916,hortezuelas
51596,vendiendo
51600,mercaderías
51617,tributos pagan
51913,maizales
52044,firmar
52162,tiranizó
52209,labranza
52296,alió
52331,mandado
52358,TLACAXIPEHUALIZTLI
52359,sacrificadas
52367,Cantaban
52378,pedía limosna
52387,enterraba
52396,enterrar
52410,tresquilaba
52414,quemar incienso
52421,SUCHIMANALOYA
52429,rito
52432,HUEY TOZOZTLI
52461,TOXCATL
52465,tostarlo
52471,ETZALQUALIZTLI
52490,TECUILHUITONTLI
52491,HUEY TECUILHUITL
52492,MICCAILHUITL
52493,HUEY MICAILHUITL
52494,OCHPANIZTLI
52499,TEUTLECO
52506,TEPEILHUITL
52518,QUECHOLLI
52533,comerlas
52538,PANQUETZALIZTLI
52548,ATEMOZTLI
52549,TITITL
52554,IZCALLI
52561,QUAHUITLEHUA
52569,ofrecerles
52571,quemarles incienso
52583,delinquían
52586,cometía delito
52659,Riégase
52722,administración
52821,Riéganse
52911,matando
52918,aliándose
52982,ajusticiaban
52985,Gobemábanse
52988,cometía adulterio
52992,hacían boda
52997,cometiese adulterio
52998,hurtaba
53002,condenado
53003,pagase
53020,reñían
53029,sustentarse
53031,servir
53034,huía
53046,huir
53099,sustentaban
53278,confederó
53282,sojuzgaron
53321,aprovechan
53351,castigándolos
53445,avasalló
53541,proveían
54116,invocándolo
54117,creyendo
54129,trocaban
54148,tiranizarse
54149,persecuciones
54424,mercadería
54533,sujetado
54578,invocándolos
54581,Enterrábanse
54660,dormir
55032,sacrificábanse
55310,manda
55440,coger
55630,sujetarlos
55814,sembraran
55942,administrasen
56582,mercar
56761,sacrificaba
56783,matasen
56786,entierros
57141,Comvidábanse
57152,matábanlos
57153,enterrasen
57561,prender
58046,sacrificasen
58148,Ofrecíanle
58161,adúltero
58166,enterrábanlos
58168,Enterrábanlos
58480,matándolos
58503,trabajasen
58508,hiciese justicia
58509,castigase
58693,venderlo
58814,adulteraba
59483,cazadores
59620,bautizaron
60003,tributasen
60045,venderlos
60834,plantar
61147,huertezuelas
61396,pecho
61400,gastos
61418,divisas
61438,ejercicio militar
61454,Fuego Nuevo
61457,TLEQUAHUITL
61535,celebra
61597,administraba
61654,juntas
61655,acuerdos
61698,usos militares
61758,CHINAMPAS
62189,cantaban
62248,sepulturas
62268,regocijábanse
62277,matrimonios
62289,ofrendaban
62314,prisión
62325,preso
62358,vencía
62360,prisioneros
62776,administrado justicia
63544,adorarlos
63567,tlenamaca
63580,ejercitaban
63587,apaleábanlos
63591,cautivaba
63598,ganar
63695,aderezar
63967,sacrificó
63986,ontlalqua
64002,criase
64013,amancebaba
64016,apaleaban
64049,cortaban las cabezas
64051,secaban
64101,duermen
64614,corazón
64629,vestían
64890,coser
65089,confesión
65090,bautismo
65337,ahorcaban
65406,juegan
65430,declaraba
65432,mandase
65434,condenaban
65435,achocasen
65436,achocaban
65497,trasquilar
